3.0	968.0
3.1	718.0
3.2	464.0
3.3	341.0
3.4	240.0
3.5	178.0
3.6	142.0
3.7	120.0
3.8	113.0
3.9	112.0
4.0	108.0
4.1	95.0
4.2	100.0
4.3	96.0
4.4	106.0
4.5	119.0
4.6	127.0
4.7	134.0
4.8	155.0
4.9	167.0
5.0	161.0
5.1	177.0
5.2	157.0
5.3	161.0
5.4	160.0
5.5	159.0
5.6	155.0
5.7	148.0
5.8	141.0
5.9	135.0
6.0	135.0
6.1	136.0
6.2	150.0
6.3	179.0
6.4	191.0
6.5	219.0
6.6	217.0
6.7	215.0
6.8	244.0
6.9	293.0
7.0	265.0
7.1	353.0
7.2	463.0
7.3	503.0
7.4	618.0
7.5	613.0
7.6	708.0
7.7	949.0
7.8	685.0
7.9	234.0
8.0	216.0
8.1	228.0
8.2	217.0
8.3	222.0
8.4	235.0
8.5	241.0
8.6	249.0
8.7	248.0
8.8	237.0
8.9	241.0
9.0	244.0
9.1	254.0
9.2	240.0
9.3	256.0
9.4	246.0
9.5	261.0
9.6	253.0
9.7	244.0
9.8	244.0
9.9	220.0
10.0	218.0
10.1	221.0
10.2	222.0
10.3	210.0
10.4	201.0
10.5	206.0
10.6	200.0
10.7	206.0
10.8	218.0
10.9	189.0
11.0	195.0
11.1	204.0
11.2	197.0
11.3	190.0
11.4	182.0
11.5	194.0
11.6	187.0
11.7	193.0
11.8	186.0
11.9	179.0
12.0	180.0
12.1	180.0
12.2	184.0
12.3	180.0
12.4	166.0
12.5	170.0
12.6	172.0
12.7	175.0
12.8	168.0
12.9	178.0
13.0	176.0
13.1	199.0
13.2	204.0
13.3	280.0
13.4	320.0
13.5	280.0
13.6	183.0
13.7	170.0
13.8	162.0
13.9	161.0
14.0	157.0
14.1	159.0
14.2	167.0
14.3	163.0
14.4	168.0
14.5	174.0
14.6	177.0
14.7	195.0
14.8	225.0
14.9	461.0
15.0	832.0
15.1	814.0
15.2	437.0
15.3	202.0
15.4	152.0
15.5	128.0
15.6	140.0
15.7	125.0
15.8	122.0
15.9	117.0
16.0	115.0
16.1	117.0
16.2	114.0
16.3	107.0
16.4	116.0
16.5	107.0
16.6	94.0
16.7	108.0
16.8	106.0
16.9	96.0
17.0	96.0
17.1	97.0
17.2	89.0
17.3	83.0
17.4	94.0
17.5	84.0
17.6	77.0
17.7	81.0
17.8	83.0
17.9	83.0
18.0	80.0
18.1	80.0
18.2	73.0
18.3	76.0
18.4	81.0
18.5	66.0
18.6	67.0
18.7	81.0
18.8	73.0
18.9	62.0
19.0	70.0
19.1	68.0
19.2	72.0
19.3	68.0
19.4	70.0
19.5	61.0
19.6	64.0
19.7	74.0
19.8	70.0
19.9	64.0
20.0	81.0
20.1	97.0
20.2	72.0
20.3	60.0
20.4	55.0
20.5	57.0
20.6	47.0
20.7	50.0
20.8	49.0
20.9	58.0
21.0	48.0
21.1	51.0
21.2	48.0
21.3	49.0
21.4	45.0
21.5	49.0
21.6	50.0
21.7	44.0
21.8	47.0
21.9	55.0
22.0	54.0
22.1	56.0
22.2	50.0
22.3	58.0
22.4	66.0
22.5	128.0
22.6	207.0
22.7	197.0
22.8	153.0
22.9	80.0
23.0	55.0
23.1	47.0
23.2	46.0
23.3	0.0
23.4	39.0
23.5	39.0
23.6	43.0
23.7	37.0
23.8	46.0
23.9	40.0
24.0	38.0
24.1	36.0
24.2	36.0
24.3	36.0
24.4	35.0
24.5	35.0
24.6	37.0
24.7	36.0
24.8	35.0
24.9	39.0
25.0	39.0
25.1	38.0
25.2	32.0
25.3	36.0
25.4	34.0
25.5	35.0
25.6	31.0
25.7	29.0
25.8	35.0
25.9	35.0
26.0	32.0
26.1	31.0
26.2	35.0
26.3	30.0
26.4	34.0
26.5	35.0
26.6	29.0
26.7	33.0
26.8	24.0
26.9	33.0
27.0	33.0
27.1	38.0
27.2	34.0
27.3	29.0
27.4	29.0
27.5	25.0
27.6	31.0
27.7	32.0
27.8	27.0
27.9	26.0
28.0	27.0
28.1	22.0
28.2	29.0
28.3	26.0
28.4	29.0
28.5	29.0
28.6	23.0
28.7	22.0
28.8	23.0
28.9	23.0
29.0	22.0
29.1	24.0
29.2	28.0
29.3	25.0
29.4	20.0
29.5	25.0
29.6	23.0
29.7	22.0
29.8	22.0
29.9	25.0
30.0	22.0
30.1	22.0
30.2	25.0
30.3	24.0
30.4	29.0
30.5	31.0
30.6	55.0
30.7	47.0
30.8	52.0
30.9	39.0
31.0	28.0
31.1	26.0
31.2	22.0
31.3	20.0
31.4	24.0
31.5	22.0
31.6	21.0
31.7	21.0
31.8	19.0
31.9	23.0
32.0	18.0
32.1	24.0
32.2	19.0
32.3	19.0
32.4	20.0
32.5	17.0
32.6	20.0
32.7	19.0
32.8	15.0
32.9	18.0
33.0	18.0
33.1	20.0
33.2	18.0
33.3	19.0
33.4	14.0
33.5	18.0
33.6	18.0
33.7	19.0
33.8	17.0
33.9	17.0
34.0	17.0
34.1	17.0
34.2	16.0
34.3	15.0
34.4	15.0
34.5	19.0
34.6	18.0
34.7	16.0
34.8	16.0
34.9	18.0
35.0	16.0
35.1	16.0
35.2	15.0
35.3	14.0
35.4	20.0
35.5	15.0
35.6	15.0
35.7	15.0
35.8	11.0
35.9	13.0
36.0	16.0
36.1	14.0
36.2	13.0
36.3	12.0
36.4	15.0
36.5	13.0
36.6	13.0
36.7	14.0
36.8	15.0
36.9	11.0
37.0	13.0
37.1	13.0
37.2	12.0
37.3	15.0
37.4	13.0
37.5	15.0
37.6	12.0
37.7	12.0
37.8	12.0
37.9	11.0
